# Settings (INTERP) : f = 8, angles = None, pmax = 15, backend = statevector_simulator (Aer), optimizer = COBYLA, (maxiter, tol) = (100, 1e-08), Hamiltonian, shots = 256
p,avg_cost,opt_proba,angles_0,angles_1,angles_2,angles_3,angles_4,angles_5,angles_6,angles_7,angles_8,angles_9,angles_10,angles_11,angles_12,angles_13,angles_14,angles_15,angles_16,angles_17,angles_18,angles_19,angles_20,angles_21,angles_22,angles_23,angles_24,angles_25,angles_26,angles_27,angles_28,angles_29
1.0,-37.9142902641863,0.0309096762865381,0.4484234759856029,0.9075321920301372,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,-38.74670801099498,0.0943775222671964,0.5387799304624957,0.3028755647478366,0.6237626234441676,1.046449396309439,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,-39.52194547681907,0.2498426188496387,0.6623459454324914,0.4957597287903962,0.3123932472391109,0.6003185961947709,0.9617424250637016,1.0657384807608326,,,,,,,,,,,,,,,,,,,,,,,,
4.0,-39.949086743813865,0.3807223108619392,0.6636970991828469,0.5979668584556239,0.4875281165576515,0.2434753056433019,0.5096649802464726,0.8971351765892828,1.0802295632987566,1.1540807602729657,,,,,,,,,,,,,,,,,,,,,,
5.0,-40.17572120021818,0.4620359551576183,0.6562363473477699,0.6027476974008708,0.5580367322061771,0.4212019297871223,0.1973734959569648,0.3944429054603065,0.7578585407337363,0.9258003151972424,1.0450269245406585,1.0679502969177923,,,,,,,,,,,,,,,,,,,,
6.0,-40.3068122781752,0.5266979331316972,0.692050452493401,0.6334773913504363,0.5969465608767843,0.5131708260341538,0.386342286042327,0.1723485149543833,0.3422514836782938,0.6665747047055252,0.8749366059912435,0.992805677910094,1.0414148113171002,1.100648618368,,,,,,,,,,,,,,,,,,
7.0,-40.50571880663634,0.6364015900980163,0.6953810760761765,0.6654703409105885,0.6306363416108289,0.558562966392015,0.4898663365577989,0.377073050603526,0.1852880088642534,0.3502693821305576,0.6344837357245076,0.8053000317577738,0.9530150957486428,0.9916306047333074,1.0736043917467244,1.1235045623857196,,,,,,,,,,,,,,,,
8.0,-40.71070121171035,0.7777961939397351,0.6994811800840577,0.6712431318526365,0.6672770256799663,0.6038233044640959,0.5417665602147882,0.4861969887214241,0.3842244460287649,0.1740833125912625,0.3210237780163487,0.6304533745288559,0.7819033214972755,0.8897659332485345,0.958939166417442,1.0004444368312713,1.0722211203517729,1.120716438169437,,,,,,,,,,,,,,
9.0,-40.79166499058036,0.8516996767648776,0.7116615706004822,0.6926311510031476,0.6787210582801051,0.6338133536166184,0.5761437673680512,0.5167742390289556,0.4685527460215626,0.344529245157782,0.1438419817682512,0.3061000840680178,0.6055526217329374,0.766697307290741,0.8701166975968848,0.9351906793213748,0.9766302711231478,1.00439918234085,1.0641836079074705,1.1186828304133107,,,,,,,,,,,,
10.0,-40.87041304375309,0.9107538595659008,0.6949237946114696,0.6547410119312913,0.6705279908912126,0.6363767710145446,0.59234715778687,0.5609593478101138,0.5109201898398382,0.4331812911692909,0.2966627993839069,0.1444925953174693,0.2806905950951847,0.582834712423536,0.7500574960529889,0.8640863684148553,0.9117352996037468,0.9596984175541524,1.0137121366934163,1.0126224076213626,1.1028152573822372,1.1582170397275453,,,,,,,,,,
