# Settings (INTERP) : f = 10, angles = None, pmax = 15, backend = qasm_simulator (Aer), optimizer = COBYLA, (maxiter, tol) = (100, 1e-06), Hamiltonian, shots = 256
p,avg_cost,opt_proba,angles_0,angles_1,angles_2,angles_3,angles_4,angles_5,angles_6,angles_7,angles_8,angles_9,angles_10,angles_11,angles_12,angles_13,angles_14,angles_15,angles_16,angles_17,angles_18,angles_19,angles_20,angles_21,angles_22,angles_23,angles_24,angles_25,angles_26,angles_27,angles_28,angles_29
1.0,-63.484375,0.00390625,0.4564892585737751,0.7344425690455338,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,-65.796875,0.10546875,0.6498938686756084,0.2824507298012584,0.7227246621688934,1.023040112241275,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,-67.21875,0.19921875,0.6226281710059625,0.522978987587016,0.3008968318565002,0.3756436800284071,0.6976238658285805,0.9707431038438035,,,,,,,,,,,,,,,,,,,,,,,,
4.0,-67.26953125,0.28125,0.6222116740438407,0.6075136170392137,0.4495072162143135,0.277622732579639,0.3825480281885927,0.5968038771461481,0.7898138809744344,0.9753288792834809,,,,,,,,,,,,,,,,,,,,,,
5.0,-67.60546875,0.3984375,0.6222107902827884,0.6111880796543987,0.528510252306267,0.406534948493885,0.2776204952093208,0.3825491579545295,0.5432397594646616,0.6933098182513051,0.8361948565794579,0.9753283478718675,,,,,,,,,,,,,,,,,,,,
6.0,-68.03515625,0.53125,0.6185416468962999,0.609896096081008,0.5582519533556322,0.4806158581320038,0.392639051913318,0.283826903297939,0.3713423378299554,0.42888012886514826,0.7253891651056286,0.7410008376453421,0.8850159458669555,0.9802889289946846,,,,,,,,,,,,,,,,,,
7.0,-68.359375,0.640625,0.6352450265367375,0.6812163728443027,0.6142320824694326,0.5327512088004165,0.4440449836278605,0.423241663808553,0.2199496741679786,0.2534398175085002,0.46827127995251505,0.6448505893795939,0.7401179198702614,0.7812167340901146,0.8890979840268036,0.9772422100937872,,,,,,,,,,,,,,,,
8.0,-68.49609375,0.71875,0.635251953997107,0.673952385461771,0.6306729600309796,0.5680192180060708,0.4933245916981315,0.4364140685232585,0.3929908187742306,0.2188887089431519,0.25286239481163264,0.41804448165903363,0.5712827261758342,0.7125375960961104,0.7695430442649478,0.8144217209504374,0.9032514597718864,0.9822821078453998,,,,,,,,,,,,,,
9.0,-68.49609375,0.75,0.6456287720723644,0.6677763480955649,0.5757542393532771,0.5184292487355684,0.5225294851766175,0.4966367375574174,0.4387609981193233,0.3337292816340397,0.2098873608717244,0.23843716875529086,0.41065599958118426,0.5056984012675354,0.7081489901435054,0.7439942133530106,0.8153232273507385,0.7643276948439182,0.8533872877131623,0.998565410816691,,,,,,,,,,,,
10.0,-68.46875,0.80078125,0.6741918634950615,0.6969001412509668,0.6000656722129677,0.5827867543528576,0.5245069769142908,0.5006481374604117,0.4947659670707752,0.4115479447548086,0.3622325912281022,0.1579231764859939,0.20530926453353615,0.413319919289183,0.5066899126798452,0.6588619253781323,0.7311211139003024,0.771240057382899,0.7712656711988091,0.8250527323348988,0.870889983137789,1.032169529124645,,,,,,,,,,
