# Settings (INTERP) : f = 1, angles = None, pmax = 10, backend = ibmq_bogot, optimizer = SPSA, (maxiter, tol) = (100, 1e-06), Hamiltonian, shots = 256
p,avg_cost,opt_proba,angles_0,angles_1,angles_2,angles_3,angles_4,angles_5,angles_6,angles_7,angles_8,angles_9,angles_10,angles_11,angles_12,angles_13,angles_14,angles_15,angles_16,angles_17,angles_18,angles_19
1.0,-17.0,0.125,0.6316221665937832,0.9623739517496926,,,,,,,,,,,,,,,,,,
2.0,-16.765625,0.05078125,0.8568434576535715,2.089804771991969,0.5111383059197561,1.6689070525147818,,,,,,,,,,,,,,,,
3.0,-16.68359375,0.03515625,0.0055888378084727,0.5859886865224104,1.383563193959112,0.9277620139660936,0.08935585694909953,4.146660107261771,,,,,,,,,,,,,,
4.0,-16.6640625,0.04296875,1.21523274341134,1.0197843650678875,2.667813953386593,2.8664814579317124,0.9498261030985224,6.163108048219079,2.6661551067437133,3.8329550892649036,,,,,,,,,,,,
5.0,-16.94921875,0.0546875,1.5289561765244029,3.052292296601595,1.4352265813176694,1.2533706216834688,2.178864002641978,0.6465479710728355,5.001685650153343,3.1202724365893313,3.144267523116829,3.464080891666553,,,,,,,,,,
6.0,-16.84375,0.0625,0.6837646210363374,1.0904802432722227,2.793866621199597,2.7874633352620557,1.472905829247602,1.9706713863649128,0.6877680970069866,3.2059817405452034,4.679082905484771,3.276703310517421,3.053988870776795,3.8060079056666405,,,,,,,,
7.0,-16.69140625,0.05078125,1.181349394442816,2.11051588118959,2.5902508578049366,0.4466574078705942,2.308888266536325,2.4639629679815305,0.5141834268942,2.0568857215028533,4.5051652419650825,3.1922897632228344,0.3785857328747504,5.068744488029941,1.7972038299305346,3.8768846918525908,,,,,,
8.0,-16.828125,0.01953125,0.6073856411141323,1.685163905612105,1.679848256162536,0.6941865532260025,0.1756177780006886,2.672556888365441,3.0813078892236354,1.5826611704811189,2.485103128115,3.719421145756616,2.6600003788123536,5.010395390005974,4.927901475702182,2.5817542228107344,4.5980881129530475,0.7953468703217412,,,,
9.0,-16.8125,0.0546875,1.3603573169828118,0.8374289655814562,2.2114256561777177,3.035126041796105,2.205139055725655,1.81386471516596,2.8129668495086046,2.9984961945111617,1.3798177566785006,2.968179592875009,3.5678522460025666,2.848318662613163,3.3292779821685365,4.374324778763711,3.195817532721944,2.3469503346179605,4.434342533186334,6.150273145077993,,
10.0,-16.65625,0.05078125,0.8897989751084743,0.2547112135491725,2.5366484349474567,0.3400556952322535,1.561678742972151,1.6455579935254967,1.4284024204385632,1.2182220731861686,0.4289759703771301,1.4019477996889345,2.273005091338537,5.8598275982036006,1.9397097471805953,0.18740355326201374,0.29835053017195445,1.837249959250764,5.605362753102978,0.4709889901249058,0.23404857186584227,0.8742374462607492
