# Reduction : NTR-KZFD based ; Ising before applying embedding
k,rcs,at,meanr,minr,maxr,proba,nbdup,maxdup,nbduperrors
9,0.65,1100,0.9440000000000001,0.6,1.0,0.73,2,2,0
9,0.65,1200,0.9639999999999997,0.6,1.0,0.83,2,2,0
9,0.65,1300,0.9839999999999999,0.8,1.0,0.92,2,2,0
9,0.65,1400,0.9620000000000001,0.8,1.0,0.81,2,2,0
9,0.65,1500,0.9759999999999996,0.8,1.0,0.88,2,2,0
9,0.65,1600,0.936,0.6,1.0,0.69,2,2,1
9,0.65,1700,0.9560000000000001,0.8,1.0,0.78,2,2,1
9,0.65,1800,0.968,0.8,1.0,0.84,2,2,0
9,0.65,1900,0.9520000000000001,0.8,1.0,0.76,2,2,0
9,0.65,2000,0.9440000000000001,0.8,1.0,0.72,2,2,0
