# Reduction : NTR-KZFD based ; Ising before applying embedding
k,rcs,at,meanr,minr,maxr,proba,nbdup,maxdup,nbduperrors
0,0.15,100,0.7180000000000004,0.32,0.92,0.0,103,7,4
0,0.15,200,0.7192000000000001,0.44,0.92,0.0,103,7,5
0,0.15,300,0.7299999999999998,0.44,0.96,0.0,103,7,4
0,0.15,400,0.7216000000000004,0.48,1.0,0.01,103,7,9
0,0.15,500,0.7456000000000005,0.44,0.92,0.0,103,7,8
0,0.15,600,0.7688000000000001,0.44,0.96,0.0,103,7,6
0,0.15,700,0.7732000000000002,0.4,0.92,0.0,103,7,7
0,0.15,800,0.7684000000000003,0.4,0.92,0.0,103,7,6
0,0.15,900,0.7592000000000002,0.52,0.92,0.0,103,7,4
0,0.15,1000,0.7504,0.44,0.96,0.0,103,7,5
0,0.15,1100,0.7468000000000002,0.44,0.96,0.0,103,7,8
0,0.15,1200,0.7536,0.44,0.96,0.0,103,7,9
0,0.15,1300,0.7444000000000002,0.48,0.96,0.0,103,7,5
0,0.15,1400,0.7644000000000001,0.44,1.0,0.01,103,7,6
0,0.15,1500,0.7904000000000002,0.52,0.96,0.0,103,7,6
0,0.15,1600,0.7731999999999999,0.52,0.96,0.0,103,7,9
0,0.15,1700,0.7547999999999999,0.4,0.92,0.0,103,7,7
0,0.15,1800,0.76,0.44,0.96,0.0,103,7,8
0,0.15,1900,0.7728000000000005,0.56,0.96,0.0,103,7,5
0,0.15,2000,0.7435999999999998,0.44,0.96,0.0,103,7,8
1,0.15,100,0.6564000000000003,0.32,0.88,0.0,121,8,6
1,0.15,200,0.6620000000000001,0.44,0.92,0.0,121,8,12
1,0.15,300,0.6544000000000001,0.36,0.88,0.0,121,8,8
1,0.15,400,0.6763999999999999,0.48,0.88,0.0,121,8,9
1,0.15,500,0.68,0.32,0.88,0.0,121,8,7
1,0.15,600,0.6772000000000002,0.4,0.96,0.0,121,8,8
1,0.15,700,0.7107999999999999,0.44,0.92,0.0,121,8,9
1,0.15,800,0.654,0.44,0.92,0.0,121,8,9
1,0.15,900,0.6624000000000003,0.4,0.92,0.0,121,8,5
1,0.15,1000,0.6852000000000003,0.4,0.92,0.0,121,8,10
1,0.15,1100,0.6616000000000003,0.4,0.88,0.0,121,8,5
1,0.15,1200,0.6612000000000002,0.4,0.96,0.0,121,8,9
1,0.15,1300,0.6748000000000006,0.48,0.88,0.0,121,8,11
1,0.15,1400,0.6547999999999997,0.36,0.92,0.0,121,8,11
1,0.15,1500,0.6656000000000002,0.4,0.84,0.0,121,8,8
1,0.15,1600,0.6944,0.48,0.88,0.0,121,8,9
1,0.15,1700,0.6628000000000002,0.36,0.88,0.0,121,8,7
1,0.15,1800,0.6720000000000002,0.4,0.92,0.0,121,8,9
1,0.15,1900,0.6504000000000001,0.32,0.88,0.0,121,8,8
1,0.15,2000,0.6528000000000003,0.4,0.92,0.0,121,8,7
2,0.15,100,0.7696000000000004,0.56,0.96,0.0,109,7,5
2,0.15,200,0.7896000000000005,0.52,0.96,0.0,109,7,11
2,0.15,300,0.7792000000000004,0.56,0.96,0.0,109,7,5
2,0.15,400,0.8060000000000004,0.56,0.96,0.0,109,7,8
2,0.15,500,0.7824,0.52,0.96,0.0,109,7,13
2,0.15,600,0.8272000000000004,0.56,0.96,0.0,109,7,11
2,0.15,700,0.8040000000000002,0.56,0.96,0.0,109,7,9
2,0.15,800,0.7867999999999999,0.52,1.0,0.01,109,7,11
2,0.15,900,0.8256,0.52,0.96,0.0,109,7,6
2,0.15,1000,0.8324000000000005,0.52,0.96,0.0,109,7,6
2,0.15,1100,0.8076000000000004,0.56,0.96,0.0,109,7,8
2,0.15,1200,0.8248000000000001,0.48,0.96,0.0,109,7,9
2,0.15,1300,0.7748000000000002,0.48,0.96,0.0,109,7,11
2,0.15,1400,0.8076000000000003,0.52,0.96,0.0,109,7,11
2,0.15,1500,0.7972000000000001,0.56,0.96,0.0,109,7,9
2,0.15,1600,0.8240000000000005,0.56,0.96,0.0,109,7,8
2,0.15,1700,0.8271999999999999,0.52,0.96,0.0,109,7,9
2,0.15,1800,0.8076000000000003,0.56,0.96,0.0,109,7,9
2,0.15,1900,0.8051999999999998,0.56,0.96,0.0,109,7,12
2,0.15,2000,0.7748000000000004,0.48,0.96,0.0,109,7,8
3,0.15,100,0.6431999999999999,0.44,0.84,0.0,115,8,9
3,0.15,200,0.6592000000000003,0.48,0.84,0.0,115,8,6
3,0.15,300,0.6251999999999999,0.28,0.88,0.0,115,8,7
3,0.15,400,0.6268000000000004,0.4,0.88,0.0,115,8,9
3,0.15,500,0.6116000000000001,0.36,0.8,0.0,115,8,7
3,0.15,600,0.6100000000000001,0.4,0.8,0.0,115,8,7
3,0.15,700,0.652,0.44,0.84,0.0,115,8,8
3,0.15,800,0.6388000000000001,0.36,0.84,0.0,115,8,9
3,0.15,900,0.6464000000000003,0.44,0.88,0.0,115,8,8
3,0.15,1000,0.6260000000000002,0.36,0.92,0.0,115,8,9
3,0.15,1100,0.6568000000000002,0.4,0.84,0.0,115,8,6
3,0.15,1200,0.6392000000000005,0.48,0.88,0.0,115,8,4
3,0.15,1300,0.6224000000000003,0.32,0.88,0.0,115,8,9
3,0.15,1400,0.6328000000000001,0.44,0.84,0.0,115,8,7
3,0.15,1500,0.5928000000000003,0.36,0.8,0.0,115,8,9
3,0.15,1600,0.6488,0.48,0.84,0.0,115,8,9
3,0.15,1700,0.6396000000000002,0.44,0.88,0.0,115,8,7
3,0.15,1800,0.6040000000000003,0.36,0.8,0.0,115,8,10
3,0.15,1900,0.6272000000000005,0.44,0.88,0.0,115,8,10
3,0.15,2000,0.6380000000000001,0.44,0.8,0.0,115,8,8
4,0.15,100,0.7156,0.52,0.88,0.0,104,6,10
4,0.15,200,0.7227999999999999,0.52,0.88,0.0,104,6,12
4,0.15,300,0.7208,0.48,0.88,0.0,104,6,9
4,0.15,400,0.7191999999999997,0.56,0.88,0.0,104,6,8
4,0.15,500,0.7064000000000001,0.52,0.88,0.0,104,6,7
4,0.15,600,0.6863999999999997,0.52,0.88,0.0,104,6,13
4,0.15,700,0.6836000000000003,0.48,0.92,0.0,104,6,8
4,0.15,800,0.7011999999999997,0.44,0.84,0.0,104,6,5
4,0.15,900,0.7251999999999996,0.6,0.84,0.0,104,6,9
4,0.15,1000,0.7016,0.56,0.84,0.0,104,6,6
4,0.15,1100,0.6903999999999998,0.52,0.88,0.0,104,6,8
4,0.15,1200,0.7195999999999997,0.44,0.88,0.0,104,6,12
4,0.15,1300,0.7328000000000001,0.48,0.96,0.0,104,6,10
4,0.15,1400,0.6947999999999998,0.44,0.88,0.0,104,6,8
4,0.15,1500,0.7079999999999999,0.52,0.88,0.0,104,6,10
4,0.15,1600,0.6956,0.52,0.84,0.0,104,6,7
4,0.15,1700,0.7052000000000003,0.52,0.84,0.0,104,6,8
4,0.15,1800,0.6916000000000001,0.52,0.88,0.0,104,6,12
4,0.15,1900,0.7011999999999999,0.52,0.88,0.0,104,6,8
4,0.15,2000,0.7079999999999997,0.52,0.88,0.0,104,6,8
