# Reduction : NTR-KZFD based ; Ising before applying embedding
k,rcs,at,meanr,minr,maxr,proba,nbdup,maxdup,nbduperrors
0,0.55,100,0.9906666666666666,0.9333333333333333,1.0,0.86,2,2,0
0,0.55,200,0.9966666666666666,0.9333333333333333,1.0,0.95,2,2,0
0,0.55,300,0.9926666666666667,0.9333333333333333,1.0,0.89,2,2,0
0,0.55,400,0.9926666666666665,0.9333333333333333,1.0,0.89,2,2,0
0,0.55,500,0.9946666666666667,0.9333333333333333,1.0,0.92,2,2,0
0,0.55,600,0.9906666666666665,0.9333333333333333,1.0,0.86,2,2,0
0,0.55,700,0.9899999999999999,0.8,1.0,0.88,2,2,0
0,0.55,800,0.9899999999999999,0.9333333333333333,1.0,0.85,2,2,0
0,0.55,900,0.9933333333333334,0.9333333333333333,1.0,0.9,2,2,0
0,0.55,1000,0.9940000000000001,0.9333333333333333,1.0,0.91,2,2,0
0,0.55,1100,0.9926666666666667,0.8666666666666667,1.0,0.91,2,2,1
0,0.55,1200,0.9899999999999998,0.8,1.0,0.88,2,2,0
0,0.55,1300,0.9973333333333335,0.9333333333333333,1.0,0.96,2,2,1
0,0.55,1400,0.9939999999999998,0.8666666666666667,1.0,0.92,2,2,0
0,0.55,1500,0.9919999999999998,0.8666666666666667,1.0,0.89,2,2,0
0,0.55,1600,0.9926666666666668,0.9333333333333333,1.0,0.89,2,2,0
0,0.55,1700,0.992,0.8666666666666667,1.0,0.89,2,2,0
0,0.55,1800,0.9933333333333334,0.9333333333333333,1.0,0.9,2,2,0
0,0.55,1900,0.9953333333333333,0.9333333333333333,1.0,0.93,2,2,0
0,0.55,2000,0.9893333333333334,0.8666666666666667,1.0,0.86,2,2,0
1,0.55,100,0.9946666666666667,0.9333333333333333,1.0,0.92,3,2,1
1,0.55,200,0.9913333333333333,0.8666666666666667,1.0,0.88,3,2,1
1,0.55,300,0.9926666666666667,0.9333333333333333,1.0,0.89,3,2,0
1,0.55,400,0.9973333333333335,0.9333333333333333,1.0,0.96,3,2,0
1,0.55,500,0.9933333333333336,0.9333333333333333,1.0,0.9,3,2,0
1,0.55,600,0.9973333333333333,0.9333333333333333,1.0,0.96,3,2,1
1,0.55,700,0.9960000000000001,0.9333333333333333,1.0,0.94,3,2,1
1,0.55,800,0.9966666666666667,0.9333333333333333,1.0,0.95,3,2,0
