# Settings (Grid Search) : f = 10, angles = None, n = 5x5, pmax = 15, backend = qasm_simulator (Aer), optimizer = COBYLA, (maxiter, tol) = (100, 1e-06), Hamiltonian, shots = 256
p,avg_cost,opt_proba,angles_0,angles_1,angles_2,angles_3,angles_4,angles_5,angles_6,angles_7,angles_8,angles_9,angles_10,angles_11,angles_12,angles_13,angles_14,angles_15,angles_16,angles_17,angles_18,angles_19,angles_20,angles_21,angles_22,angles_23,angles_24,angles_25,angles_26,angles_27,angles_28,angles_29
1,-63.95703125,0.0234375,0.4830261420918211,0.9044947620262551,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-66.15625,0.09375,0.5804649801116523,0.3620482204375932,0.6550259482565144,1.0399176377629242,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-66.640625,0.11328125,0.6302220021491161,0.4338057870089141,0.1602859753278886,0.5400114023037519,0.9201789317817379,1.1606121540103747,,,,,,,,,,,,,,,,,,,,,,,,
4,-66.6796875,0.16015625,0.630222208318774,0.4338058196815924,0.1602858807212442,3.1415926531221343,0.5400110988588365,0.9201786045281146,1.1606113074048512,3.769911006652838,,,,,,,,,,,,,,,,,,,,,,
5,-66.640625,0.1171875,0.6127921032474768,0.492729161616429,0.1276928909449793,3.139663332476974,3.1379381551481784,0.5382700065065489,0.9207466554334385,1.157905369374535,3.768151136226694,1.2544014216600639,,,,,,,,,,,,,,,,,,,,
6,-66.9765625,0.2578125,0.905569764470692,0.6034321743338914,1.1992664921048075,0.0115389987822918,0.0250201580560132,2.305455450617861,0.5011674806837991,0.7095287605321001,0.8718174824657181,3.699537144165306,1.1718532478250143,1.0878119319061934,,,,,,,,,,,,,,,,,,
7,-67.1171875,0.2734375,0.8897043501777921,0.6538842766594563,1.1662219931124087,3.0891779098687406,0.0337450065091158,2.430747285412517,0.187097605672482,0.4316101493786766,0.7213765301477233,0.9416413093453047,3.814700808565538,1.2959233338113485,1.0265334294524386,1.3838183894721299,,,,,,,,,,,,,,,,
8,-67.27734375,0.27734375,0.8308678625078728,0.6660163243795424,1.1503521885655188,3.0793720465319705,0.0270804044991706,2.412284599683104,0.1757586462689774,3.110082697724644,0.3964004071316065,0.7285163202592821,0.9585451546563046,3.7904433181375787,1.2834463530457567,1.0291716782486615,1.3875511064481936,3.894910221982733,,,,,,,,,,,,,,
9,-67.42578125,0.3359375,0.8213276971843374,0.6638871206890319,1.1517941996069438,3.100507751372205,0.0308810772827742,2.424796958223256,0.1799991060115513,3.1129021822978165,3.1243385887204176,0.4090438060191266,0.7203670650659584,0.9662729064956368,3.6017782696656053,1.4444856184325712,1.0189111457916162,1.4109046818088675,2.9307981277404496,5.282243954095335,,,,,,,,,,,,
10,-67.4765625,0.32421875,0.8213643676364039,0.6639280704298958,1.1518264649611631,3.099281747584756,0.0315863600688191,2.424798463119248,0.1884788763794685,3.104936991830167,3.123763948081559,3.141568676983688,0.4085812933679769,0.7200624276369751,0.9788641105904343,3.575805155873849,1.4466622510770888,1.0209987455579217,1.413389449999733,2.9303318238450577,5.285584390170305,0.2607295766874991,,,,,,,,,,
11,-67.44140625,0.3125,0.8229871220028151,0.6670209362898133,1.1514110526382126,3.0988232312344883,0.0317789759561006,2.4245680532325453,0.188600141775586,3.1045484294128167,3.124181135396567,3.141300126143086,0.000315486699784,0.408736781435981,0.7199291203181986,0.9789888178729527,3.575848327429837,1.4468906848318515,1.0209963203168781,1.4134921989837155,2.9301205923373472,5.285390245635806,0.24553916994361202,5.026483277254016,,,,,,,,
12,-67.4296875,0.3203125,0.8235302288545779,0.6744818209229938,1.1506810934323004,3.1011199307592934,0.031608508868448,2.4239041431353945,0.192354493685129,3.0988061410631285,3.1233829691274493,0.0020694848922868,0.0022429253690983,3.1375031922327867,0.4095829633280248,0.7192572722071473,0.9806065273371916,3.577293825833451,1.4677100018836349,1.0030224599183182,1.3962157995365096,3.1450012466887056,5.1846054959484045,5.427914182906272,5.027140849462045,1.257979649444522,,,,,,
13,-67.48046875,0.3203125,0.8246550846532873,0.6724895186324239,1.150578814456716,3.100069668878992,0.0318066756655536,2.432874949240054,0.200940071942932,3.096887571705966,3.122632432072898,3.137828115473004,0.0036284088033347,3.1350611458882747,3.141153249110046,0.4119394510476555,0.7199811149995288,0.9827968594476788,3.5771702786669684,1.4676373720100422,1.0007049140687352,1.3950280769134382,3.1453766304807056,5.185707595004947,4.430994279136282,5.025824555589839,0.2607912304814999,0.12206588799644358,,,,
14,-67.640625,0.32421875,0.8121217307187963,0.655382479212503,1.1527798142294086,3.140813401499611,0.027702871430741,2.433646394677756,0.1991486174100173,3.1265069583092844,3.0825858778831265,3.131767001152552,3.1412859769583346,3.127885883541772,3.1403084656062727,3.141110622386395,0.41259713259283526,0.7067841659976892,0.955129834838667,3.605025830360562,1.460960674853756,1.0136487444504398,1.364369460628355,2.157056372589648,4.231057606691043,4.449630510537682,5.15005170154786,0.2607595193719181,0.12110082639710029,3.769517911035485,,
15,-67.5859375,0.3671875,0.8129626062128043,0.6559122233399891,1.1527937847080438,3.1412709372081684,0.0280889212459302,2.4339494889898248,0.1997110418096633,3.1267705199708726,3.083062436930664,3.132019767479577,0.0002272610675713,3.1282899772490587,3.1407132498192865,3.141470941776419,0.0005377223864709,0.41186591687473406,0.7060826093902337,0.9545480093909502,3.604161822269012,1.4601525768305939,1.0128684522334472,1.3745215438287257,2.1319287684645944,4.241912991064105,3.460464610496867,4.150048784874003,5.544548318538801,0.12110391089323169,3.7695210726440185,2.513274893995867
