# Reduction : NTR-KZFD based ; Ising before applying embedding
k,rcs,at,meanr,minr,maxr,proba,nbdup,maxdup,nbduperrors
3,0.65,2000,0.9699999999999998,0.8,1.0,0.85,1,2,0
4,0.65,100,0.94,0.8,1.0,0.7,1,2,0
4,0.65,200,0.96,0.6,1.0,0.81,1,2,1
4,0.65,300,0.9519999999999998,0.6,1.0,0.77,1,2,1
4,0.65,400,0.968,0.8,1.0,0.84,1,2,0
4,0.65,500,0.97,0.8,1.0,0.85,1,2,0
4,0.65,600,0.9659999999999997,0.8,1.0,0.83,1,2,0
4,0.65,700,0.9659999999999997,0.8,1.0,0.83,1,2,0
4,0.65,800,0.9639999999999997,0.8,1.0,0.82,1,2,0
4,0.65,900,0.9699999999999999,0.8,1.0,0.85,1,2,0
4,0.65,1000,0.9839999999999998,0.8,1.0,0.92,1,2,0
4,0.65,1100,0.964,0.6,1.0,0.83,1,2,1
4,0.65,1200,0.966,0.8,1.0,0.83,1,2,0
4,0.65,1300,0.9799999999999998,0.8,1.0,0.9,1,2,0
4,0.65,1400,0.9620000000000001,0.6,1.0,0.82,1,2,1
4,0.65,1500,0.968,0.6,1.0,0.85,1,2,1
4,0.65,1600,0.96,0.6,1.0,0.81,1,2,0
4,0.65,1700,0.9779999999999996,0.6,1.0,0.9,1,2,1
4,0.65,1800,0.976,0.8,1.0,0.88,1,2,0
4,0.65,1900,0.964,0.8,1.0,0.82,1,2,0
4,0.65,2000,0.9799999999999999,0.8,1.0,0.9,1,2,0
5,0.65,100,0.9179999999999998,0.6,1.0,0.6,1,2,0
5,0.65,200,0.9719999999999998,0.8,1.0,0.86,1,2,0
5,0.65,300,0.9679999999999999,0.8,1.0,0.84,1,2,0
5,0.65,400,0.9459999999999996,0.6,1.0,0.74,1,2,0
5,0.65,500,0.9619999999999999,0.8,1.0,0.81,1,2,0
5,0.65,600,0.9739999999999999,0.6,1.0,0.88,1,2,1
5,0.65,700,0.958,0.6,1.0,0.8,1,2,1
5,0.65,800,0.9679999999999999,0.8,1.0,0.84,1,2,0
5,0.65,900,0.9719999999999999,0.6,1.0,0.87,1,2,0
5,0.65,1000,0.9739999999999998,0.6,1.0,0.88,1,2,1
5,0.65,1100,0.9799999999999998,0.8,1.0,0.9,1,2,0
5,0.65,1200,0.9660000000000001,0.6,1.0,0.85,1,2,1
5,0.65,1300,0.9620000000000001,0.6,1.0,0.83,1,2,1
5,0.65,1400,0.9740000000000001,0.8,1.0,0.87,1,2,0
5,0.65,1500,0.96,0.6,1.0,0.82,1,2,1
5,0.65,1600,0.9619999999999999,0.8,1.0,0.81,1,2,1
5,0.65,1700,0.958,0.6,1.0,0.8,1,2,1
5,0.65,1800,0.9799999999999999,0.8,1.0,0.9,1,2,0
5,0.65,1900,0.9659999999999996,0.6,1.0,0.84,1,2,1
5,0.65,2000,0.9819999999999999,0.8,1.0,0.91,1,2,0
6,0.65,100,0.8799999999999997,0.6,1.0,0.45,1,2,0
6,0.65,200,0.87,0.6,1.0,0.37,1,2,0
6,0.65,300,0.8939999999999999,0.6,1.0,0.49,1,2,1
6,0.65,400,0.89,0.6,1.0,0.5,1,2,1
6,0.65,500,0.8859999999999999,0.6,1.0,0.46,1,2,1
6,0.65,600,0.88,0.6,1.0,0.43,1,2,1
6,0.65,700,0.866,0.6,1.0,0.36,1,2,1
6,0.65,800,0.9079999999999998,0.6,1.0,0.55,1,2,0
6,0.65,900,0.888,0.6,1.0,0.49,1,2,0
6,0.65,1000,0.8859999999999999,0.6,1.0,0.44,1,2,1
