j,k,meanr,minr,maxr,proba
0,0,0.5720000000000001,0.26666666666666666,0.9333333333333333,0.0
0,1,0.5606666666666668,0.26666666666666666,0.8666666666666667,0.0
0,2,0.5726666666666669,0.26666666666666666,0.8,0.0
0,3,0.5613333333333332,0.2,0.8,0.0
0,4,0.5666666666666668,0.26666666666666666,0.8666666666666667,0.0
0,5,0.5546666666666664,0.2,0.8,0.0
0,6,0.5579999999999999,0.3333333333333333,0.8,0.0
0,7,0.5713333333333332,0.2,0.8666666666666667,0.0
0,8,0.5599999999999999,0.26666666666666666,0.8,0.0
0,9,0.56,0.26666666666666666,0.8,0.0
1,0,0.604705882352941,0.29411764705882354,0.8823529411764706,0.0
1,1,0.5905882352941176,0.23529411764705882,0.8235294117647058,0.0
1,2,0.6070588235294113,0.23529411764705882,0.8235294117647058,0.0
1,3,0.5900000000000002,0.23529411764705882,0.8823529411764706,0.0
1,4,0.5911764705882351,0.35294117647058826,0.8823529411764706,0.0
1,5,0.5911764705882355,0.23529411764705882,0.8235294117647058,0.0
1,6,0.6023529411764705,0.23529411764705882,0.8235294117647058,0.0
1,7,0.5935294117647059,0.23529411764705882,0.8235294117647058,0.0
1,8,0.5894117647058821,0.23529411764705882,0.8823529411764706,0.0
1,9,0.5694117647058823,0.23529411764705882,0.8823529411764706,0.0
2,0,0.583125,0.125,0.875,0.0
2,1,0.605,0.3125,0.875,0.0
2,2,0.581875,0.25,0.875,0.0
2,3,0.569375,0.125,0.8125,0.0
2,4,0.585,0.1875,0.8125,0.0
2,5,0.583125,0.1875,0.875,0.0
2,6,0.5775,0.1875,0.8125,0.0
2,7,0.595,0.3125,0.875,0.0
2,8,0.581875,0.25,0.875,0.0
2,9,0.5775,0.25,0.875,0.0
3,0,0.619375,0.3125,0.875,0.0
3,1,0.59125,0.25,0.9375,0.0
3,2,0.596875,0.3125,0.875,0.0
3,3,0.593125,0.25,0.875,0.0
3,4,0.610625,0.3125,0.9375,0.0
3,5,0.556875,0.25,0.8125,0.0
3,6,0.596875,0.25,0.8125,0.0
3,7,0.613125,0.25,0.875,0.0
3,8,0.60125,0.25,0.8125,0.0
