j,k,meanr,minr,maxr,proba
0,0,0.48625,0.125,0.875,0.0
0,1,0.46125,0.0,0.875,0.0
0,2,0.43875,0.125,0.875,0.0
0,3,0.485,0.125,0.875,0.0
0,4,0.49375,0.0,0.875,0.0
0,5,0.4675,0.125,0.875,0.0
0,6,0.4825,0.0,0.875,0.0
0,7,0.49,0.125,0.75,0.0
0,8,0.485,0.0,0.875,0.0
0,9,0.50875,0.125,0.875,0.0
1,0,0.5014285714285716,0.14285714285714285,0.8571428571428571,0.0
1,1,0.5214285714285712,0.14285714285714285,0.7142857142857143,0.0
1,2,0.5442857142857145,0.14285714285714285,1.0,0.01
1,3,0.4942857142857142,0.0,0.8571428571428571,0.0
1,4,0.5185714285714286,0.14285714285714285,0.8571428571428571,0.0
1,5,0.547142857142857,0.0,0.8571428571428571,0.0
1,6,0.5071428571428569,0.0,0.8571428571428571,0.0
1,7,0.5185714285714284,0.14285714285714285,0.8571428571428571,0.0
1,8,0.5071428571428573,0.14285714285714285,0.7142857142857143,0.0
1,9,0.5285714285714287,0.14285714285714285,0.8571428571428571,0.0
2,0,0.4857142857142858,0.0,0.7142857142857143,0.0
2,1,0.4871428571428573,0.0,0.8571428571428571,0.0
2,2,0.47000000000000014,0.0,0.8571428571428571,0.0
2,3,0.4714285714285712,0.0,0.8571428571428571,0.0
2,4,0.4914285714285713,0.14285714285714285,0.8571428571428571,0.0
2,5,0.48285714285714293,0.0,0.8571428571428571,0.0
2,6,0.4371428571428572,0.0,0.8571428571428571,0.0
2,7,0.4657142857142857,0.0,0.8571428571428571,0.0
2,8,0.45714285714285713,0.14285714285714285,0.8571428571428571,0.0
2,9,0.45857142857142846,0.0,0.8571428571428571,0.0
3,0,0.4733333333333334,0.0,0.8888888888888888,0.0
3,1,0.4822222222222222,0.0,0.8888888888888888,0.0
3,2,0.5277777777777778,0.1111111111111111,0.7777777777777778,0.0
3,3,0.49666666666666665,0.1111111111111111,0.8888888888888888,0.0
3,4,0.49111111111111133,0.0,0.7777777777777778,0.0
3,5,0.5055555555555554,0.0,0.8888888888888888,0.0
3,6,0.5188888888888891,0.0,0.8888888888888888,0.0
3,7,0.4877777777777776,0.1111111111111111,0.8888888888888888,0.0
3,8,0.5011111111111111,0.0,1.0,0.01
3,9,0.49000000000000016,0.1111111111111111,0.8888888888888888,0.0
4,0,0.43125,0.0,0.75,0.0
4,1,0.43,0.125,0.875,0.0
4,2,0.465,0.125,0.875,0.0
4,3,0.46,0.0,0.875,0.0
4,4,0.41875,0.0,0.875,0.0
4,5,0.43125,0.125,1.0,0.01
4,6,0.4575,0.125,0.875,0.0
4,7,0.4275,0.125,0.875,0.0
4,8,0.48125,0.125,0.875,0.0
4,9,0.45875,0.125,0.75,0.0
5,0,0.508,0.2,0.9,0.0
5,1,0.5349999999999999,0.2,1.0,0.01
5,2,0.5139999999999999,0.1,1.0,0.01
5,3,0.5270000000000001,0.2,0.9,0.0
5,4,0.5139999999999999,0.1,0.8,0.0
5,5,0.5300000000000001,0.2,0.9,0.0
5,6,0.5160000000000001,0.2,0.8,0.0
5,7,0.5109999999999999,0.1,0.9,0.0
5,8,0.519,0.2,0.9,0.0
5,9,0.5059999999999998,0.1,0.9,0.0
