j,k,meanr,minr,maxr,proba
6,0,0.5614285714285716,0.14285714285714285,0.8571428571428571,0.0
6,1,0.5242857142857141,0.0,0.8571428571428571,0.0
6,2,0.5257142857142858,0.0,0.8571428571428571,0.0
6,3,0.5257142857142859,0.0,0.8571428571428571,0.0
6,4,0.5257142857142855,0.0,0.8571428571428571,0.0
6,5,0.5214285714285714,0.0,1.0,0.01
6,6,0.532857142857143,0.0,0.8571428571428571,0.0
6,7,0.5357142857142857,0.14285714285714285,0.8571428571428571,0.0
6,8,0.5128571428571429,0.0,0.8571428571428571,0.0
6,9,0.544285714285714,0.0,0.7142857142857143,0.0
7,0,0.5042857142857142,0.0,0.8571428571428571,0.0
7,1,0.5142857142857141,0.14285714285714285,0.8571428571428571,0.0
7,2,0.55,0.0,0.8571428571428571,0.0
7,3,0.5257142857142857,0.0,0.8571428571428571,0.0
7,4,0.537142857142857,0.14285714285714285,0.8571428571428571,0.0
7,5,0.5242857142857145,0.0,0.7142857142857143,0.0
7,6,0.5257142857142856,0.0,1.0,0.01
7,7,0.5142857142857141,0.14285714285714285,0.8571428571428571,0.0
7,8,0.5342857142857144,0.0,0.8571428571428571,0.0
7,9,0.5385714285714283,0.0,1.0,0.01
8,0,0.54,0.25,0.875,0.0
8,1,0.54875,0.0,0.875,0.0
8,2,0.535,0.125,0.75,0.0
8,3,0.53375,0.125,0.875,0.0
8,4,0.52375,0.125,0.875,0.0
8,5,0.51375,0.125,0.875,0.0
8,6,0.54875,0.125,0.75,0.0
8,7,0.565,0.125,0.875,0.0
8,8,0.53375,0.125,0.875,0.0
8,9,0.53875,0.0,0.875,0.0
9,0,0.55875,0.125,0.75,0.0
9,1,0.58625,0.125,0.875,0.0
9,2,0.60375,0.25,1.0,0.01
9,3,0.58625,0.0,0.875,0.0
9,4,0.5575,0.0,0.875,0.0
9,5,0.595,0.125,0.875,0.0
9,6,0.57,0.0,0.875,0.0
9,7,0.56375,0.25,1.0,0.01
9,8,0.58375,0.125,0.875,0.0
9,9,0.57,0.0,0.875,0.0
10,0,0.64,0.3,0.9,0.0
10,1,0.6360000000000005,0.2,0.8,0.0
10,2,0.5930000000000001,0.2,0.8,0.0
10,3,0.6200000000000001,0.1,0.9,0.0
10,4,0.6200000000000003,0.3,0.9,0.0
10,5,0.6160000000000001,0.2,0.8,0.0
10,6,0.6100000000000002,0.2,0.9,0.0
10,7,0.6180000000000003,0.1,0.9,0.0
10,8,0.5920000000000004,0.1,0.9,0.0
10,9,0.5970000000000002,0.2,0.9,0.0
11,0,0.561111111111111,0.1111111111111111,0.8888888888888888,0.0
11,1,0.5655555555555555,0.0,0.8888888888888888,0.0
11,2,0.5500000000000002,0.1111111111111111,0.8888888888888888,0.0
11,3,0.5644444444444445,0.2222222222222222,0.8888888888888888,0.0
11,4,0.5344444444444447,0.0,0.8888888888888888,0.0
11,5,0.5233333333333335,0.0,0.8888888888888888,0.0
11,6,0.5222222222222226,0.0,0.8888888888888888,0.0
11,7,0.5522222222222223,0.0,0.8888888888888888,0.0
11,8,0.5533333333333333,0.2222222222222222,0.8888888888888888,0.0
11,9,0.5844444444444444,0.1111111111111111,0.8888888888888888,0.0
12,0,0.33833333333333326,0.0,0.8333333333333334,0.0
12,1,0.33500000000000013,0.0,0.8333333333333334,0.0
12,2,0.3283333333333334,0.0,0.8333333333333334,0.0
12,3,0.32,0.0,0.8333333333333334,0.0
12,4,0.3300000000000001,0.0,1.0,0.01
12,5,0.3383333333333334,0.0,0.8333333333333334,0.0
12,6,0.29500000000000004,0.0,0.8333333333333334,0.0
12,7,0.3516666666666666,0.0,0.8333333333333334,0.0
12,8,0.34166666666666673,0.0,0.8333333333333334,0.0
12,9,0.3066666666666668,0.0,0.8333333333333334,0.0
13,0,0.62125,0.125,0.875,0.0
13,1,0.62,0.125,0.875,0.0
13,2,0.58875,0.25,0.75,0.0
13,3,0.60375,0.125,0.875,0.0
13,4,0.5975,0.0,1.0,0.01
13,5,0.59625,0.125,0.875,0.0
13,6,0.61875,0.25,1.0,0.01
13,7,0.61375,0.125,1.0,0.01
13,8,0.61125,0.25,0.875,0.0
13,9,0.59625,0.25,0.875,0.0
14,0,0.48333333333333356,0.1111111111111111,0.7777777777777778,0.0
14,1,0.5044444444444443,0.1111111111111111,0.8888888888888888,0.0
14,2,0.47,0.1111111111111111,0.8888888888888888,0.0
14,3,0.48999999999999994,0.1111111111111111,0.8888888888888888,0.0
14,4,0.4755555555555553,0.1111111111111111,0.7777777777777778,0.0
14,5,0.48444444444444423,0.0,0.8888888888888888,0.0
14,6,0.46111111111111114,0.1111111111111111,0.7777777777777778,0.0
14,7,0.4644444444444445,0.1111111111111111,0.7777777777777778,0.0
14,8,0.4733333333333333,0.1111111111111111,0.8888888888888888,0.0
14,9,0.4711111111111109,0.1111111111111111,0.8888888888888888,0.0
