j,k,meanr,minr,maxr,proba
5,3,0.40999999999999986,0.0,1.0,0.03
5,4,0.4166666666666666,0.0,1.0,0.02
5,5,0.4000000000000001,0.0,1.0,0.02
5,6,0.4566666666666668,0.0,1.0,0.03
5,7,0.42,0.0,1.0,0.03
5,8,0.42333333333333345,0.0,1.0,0.02
5,9,0.41333333333333333,0.0,1.0,0.01
6,0,0.46666666666666673,0.0,1.0,0.04
6,1,0.4800000000000001,0.0,1.0,0.04
6,2,0.4666666666666666,0.0,1.0,0.02
6,3,0.4700000000000001,0.0,1.0,0.01
6,4,0.4833333333333335,0.0,1.0,0.03
6,5,0.49666666666666687,0.0,1.0,0.03
6,6,0.45999999999999974,0.0,1.0,0.02
6,7,0.47999999999999987,0.0,1.0,0.03
6,8,0.4799999999999999,0.0,1.0,0.03
6,9,0.4866666666666665,0.0,1.0,0.05
7,0,0.6219999999999998,0.0,1.0,0.02
7,1,0.5719999999999997,0.0,1.0,0.01
7,2,0.584,0.0,1.0,0.03
7,3,0.5379999999999999,0.0,1.0,0.04
7,4,0.576,0.0,1.0,0.03
7,5,0.58,0.0,1.0,0.03
7,6,0.5880000000000001,0.0,0.8,0.0
7,7,0.5939999999999999,0.0,1.0,0.01
7,8,0.6059999999999997,0.0,1.0,0.04
7,9,0.5739999999999998,0.0,1.0,0.02
8,0,0.4200000000000001,0.0,1.0,0.01
8,1,0.43799999999999983,0.0,1.0,0.02
8,2,0.5099999999999999,0.0,1.0,0.07
8,3,0.4520000000000001,0.0,1.0,0.02
8,4,0.4920000000000001,0.0,1.0,0.01
8,5,0.4820000000000001,0.0,1.0,0.04
8,6,0.46199999999999997,0.0,1.0,0.04
8,7,0.48400000000000015,0.0,1.0,0.03
8,8,0.4359999999999998,0.0,1.0,0.01
8,9,0.5219999999999998,0.0,1.0,0.05
9,0,0.472,0.0,0.8,0.0
9,1,0.48799999999999977,0.0,1.0,0.08
9,2,0.4739999999999999,0.0,1.0,0.02
9,3,0.49600000000000016,0.0,1.0,0.02
9,4,0.4360000000000001,0.0,1.0,0.03
9,5,0.5159999999999999,0.0,1.0,0.04
9,6,0.5260000000000001,0.0,1.0,0.06
9,7,0.5200000000000001,0.0,1.0,0.02
9,8,0.484,0.0,1.0,0.01
9,9,0.486,0.0,1.0,0.03
10,0,0.5425,0.0,1.0,0.03
10,1,0.585,0.0,1.0,0.05
10,2,0.585,0.0,1.0,0.02
10,3,0.53,0.0,1.0,0.03
10,4,0.615,0.0,1.0,0.04
10,5,0.585,0.0,1.0,0.02
10,6,0.5975,0.0,1.0,0.02
10,7,0.5775,0.0,1.0,0.02
10,8,0.5975,0.0,1.0,0.04
10,9,0.5975,0.0,1.0,0.03
11,0,0.6379999999999999,0.0,1.0,0.05
11,1,0.6359999999999999,0.0,1.0,0.05
11,2,0.6239999999999998,0.0,1.0,0.01
11,3,0.6599999999999997,0.0,1.0,0.08
11,4,0.6339999999999999,0.0,1.0,0.01
11,5,0.6459999999999998,0.0,1.0,0.03
11,6,0.6259999999999997,0.0,1.0,0.02
11,7,0.6120000000000003,0.0,1.0,0.01
11,8,0.6559999999999997,0.0,1.0,0.04
11,9,0.6319999999999999,0.0,1.0,0.01
12,0,0.566,0.0,1.0,0.03
12,1,0.5499999999999998,0.0,0.8,0.0
12,2,0.6199999999999999,0.2,1.0,0.05
12,3,0.586,0.0,1.0,0.02
12,4,0.5800000000000002,0.0,1.0,0.03
12,5,0.6259999999999998,0.0,1.0,0.03
12,6,0.5760000000000001,0.0,1.0,0.02
12,7,0.6159999999999998,0.0,1.0,0.04
12,8,0.5760000000000002,0.0,1.0,0.04
12,9,0.5859999999999999,0.0,1.0,0.06
13,0,0.38199999999999984,0.0,1.0,0.04
13,1,0.3839999999999998,0.0,1.0,0.04
13,2,0.46199999999999997,0.0,1.0,0.04
13,3,0.4559999999999998,0.0,1.0,0.04
13,4,0.4659999999999998,0.0,1.0,0.04
13,5,0.43200000000000005,0.0,1.0,0.02
13,6,0.4179999999999999,0.0,1.0,0.01
13,7,0.43999999999999995,0.0,1.0,0.04
13,8,0.44399999999999984,0.0,1.0,0.07
13,9,0.412,0.0,1.0,0.01
14,0,0.245,0.0,1.0,0.04
14,1,0.35,0.0,1.0,0.06
14,2,0.3,0.0,1.0,0.03
14,3,0.27,0.0,1.0,0.02
14,4,0.215,0.0,0.5,0.0
14,5,0.335,0.0,1.0,0.06
14,6,0.31,0.0,1.0,0.05
14,7,0.29,0.0,1.0,0.03
14,8,0.31,0.0,1.0,0.01
14,9,0.325,0.0,1.0,0.04
