j,k,meanr,minr,maxr,proba
0,0,0.5259999999999997,0.0,1.0,0.03
0,1,0.55,0.0,1.0,0.02
0,2,0.5479999999999997,0.0,1.0,0.03
0,3,0.58,0.0,1.0,0.04
0,4,0.5479999999999997,0.2,1.0,0.02
0,5,0.5799999999999998,0.0,1.0,0.02
0,6,0.5440000000000003,0.2,1.0,0.03
0,7,0.528,0.0,1.0,0.05
0,8,0.5019999999999998,0.0,1.0,0.02
0,9,0.5359999999999999,0.0,1.0,0.05
1,0,0.5540000000000002,0.0,1.0,0.01
1,1,0.574,0.0,1.0,0.02
1,2,0.534,0.0,1.0,0.04
1,3,0.54,0.0,1.0,0.04
1,4,0.518,0.0,1.0,0.02
1,5,0.57,0.0,1.0,0.03
1,6,0.6139999999999997,0.0,1.0,0.06
1,7,0.59,0.2,1.0,0.06
1,8,0.6059999999999998,0.0,1.0,0.1
1,9,0.57,0.0,1.0,0.04
2,0,0.275,0.0,1.0,0.04
2,1,0.27,0.0,1.0,0.03
2,2,0.295,0.0,1.0,0.03
2,3,0.245,0.0,1.0,0.01
2,4,0.285,0.0,1.0,0.03
2,5,0.255,0.0,1.0,0.04
2,6,0.26,0.0,1.0,0.03
2,7,0.27,0.0,1.0,0.02
2,8,0.255,0.0,1.0,0.02
2,9,0.25,0.0,1.0,0.05
3,0,0.42666666666666686,0.0,1.0,0.03
3,1,0.43000000000000016,0.0,1.0,0.04
3,2,0.40666666666666673,0.0,0.6666666666666666,0.0
3,3,0.41999999999999993,0.0,1.0,0.06
3,4,0.39333333333333315,0.0,1.0,0.03
3,5,0.41,0.0,1.0,0.02
3,6,0.4100000000000001,0.0,1.0,0.04
3,7,0.4466666666666669,0.0,1.0,0.03
3,8,0.38333333333333314,0.0,1.0,0.03
3,9,0.42666666666666686,0.0,1.0,0.02
4,0,0.5619999999999999,0.0,1.0,0.02
4,1,0.5500000000000003,0.0,1.0,0.02
4,2,0.568,0.0,1.0,0.07
4,3,0.5820000000000001,0.0,1.0,0.08
4,4,0.572,0.0,1.0,0.04
4,5,0.5780000000000001,0.0,1.0,0.02
4,6,0.5759999999999998,0.0,1.0,0.02
4,7,0.5399999999999998,0.0,1.0,0.06
4,8,0.6099999999999999,0.2,1.0,0.04
4,9,0.5559999999999999,0.0,1.0,0.04
5,0,0.41666666666666674,0.0,1.0,0.02
5,1,0.3633333333333333,0.0,1.0,0.02
5,2,0.39666666666666667,0.0,1.0,0.02
